PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 240 - Rest House Nikray,33.77312972261589,72.86080845005277,Combined,KPK,2,1,538,437
 244 - Govt Primary School- Jaulian (Female).,33.77409030582994,72.87483699109393,Female,KPK,0,3,0,920
 241 - Govt Middle School- Jaulian (Male).,33.77422064118744,72.87536224059076,Male,KPK,3,0,1070,0
 242 - Govt Middle School- Jaulian (Female).,33.77422064118744,72.8753922405908,Female,KPK,0,3,0,989
 243 - Govt Primary School- Jaulian (Male).,33.7744834202867,72.87473046846335,Male,KPK,3,0,1086,0
 233 - Govt Girls Primary School-Tofkian (Female),33.77488745537763,72.83754525381825,Female,KPK,0,4,0,1320
 234 - Govt Primary School- Pind Gakhra (Male),33.7777795080888,72.84311224406959,Male,KPK,3,0,1045,0
 235 - Govt Girls  Primary School- Pind Gakhra (Female),33.78099,72.84497,Female,KPK,0,3,0,882
 255 - Govt High School- Bhera (Female).,33.78411761618721,72.87546638896634,Female,KPK,0,3,0,949
 254 - Govt High School- Bhera(Male).,33.78427173109982,72.87546788059048,Male,KPK,3,0,1085,0
 260 - Govt Primary School Choi,33.78778,72.94578,Combined,KPK,2,1,592,470
 256 - Govt Girls Primary School- Tarnawa.,33.78784203921402,72.89648216956297,Combined,KPK,2,2,522,524
 258 - Govt High School- Choi(Male).,33.788182699703626,72.94602259108753,Male,KPK,4,0,1207,0
 259 - Govt High School- Choi (Female).,33.788182699703626,72.9460525910875,Female,KPK,0,3,0,1048
 308 - Govt Girls Primary School- Kotla.,33.789356397989685,73.1021269333497,Combined,KPK,2,2,762,632
 257 - Govt Primary School- Mohra Ghazan.,33.79119468300011,72.91863812364235,Combined,KPK,2,1,473,371
 237 - Govt Girls Primary School- Sultanpur.,33.79249978255618,72.84707837157559,Combined,KPK,2,2,572,498
 303 - Govt  Girls Primary School- Bharrary  (Muslaimabad)(Female),33.7932,73.05437,Female,KPK,0,2,0,760
 239 - Govt Primary School- Mumrial. (Female),33.79458,72.89039,Female,KPK,0,3,0,924
 238 - Govt Primary School- Mumrial.(Male),33.7945836103973,72.89038068701875,Male,KPK,3,0,1067,0
 289 - Govt High School Najafpur (Female),33.79685,72.98176,Female,KPK,0,3,0,868
 288 - Govt High School- Najifpur(Male),33.79693119480833,72.98190048918094,Male,KPK,3,0,975,0
 292 - Govt Girls Primary School Najafpur (Female),33.80079,72.98324,Female,KPK,0,2,0,792
 246 - Govt Girls Higher Secondary School- Khanpur,33.801728971143625,72.90661279710005,Combined,KPK,2,2,592,569
 249 - Govt Girls Higher Secondary School- Khanpur (Female),33.80174374623621,72.90659889793345,Female,KPK,0,4,0,1864
 250 - Govt Girls Higher Secondary School- Khanpur (Female),33.801820080202255,72.90659109939782,Female,KPK,0,3,0,894
 291 - Govt Primary School-Najifpur (Male),33.80265431442134,72.98343095583239,Male,KPK,3,0,913,0
 247 - Govt High School- Khanpur (Male),33.8039624321047,72.91395452122546,Male,KPK,4,0,1715,0
 248 - Govt High School- Khanpur (Male),33.803971628739596,72.9139264205755,Male,KPK,4,0,1152,0
 305 - Govt Primary School Narota,33.80698,73.07944,Combined,KPK,1,1,487,354
 290 - Govt Primary School- Khoi Kaman,33.81181705081779,72.97813862832557,Combined,KPK,2,2,665,600
 261 - Govt Middle School- Saradhana,33.81209002520182,72.96296857279593,Combined,KPK,2,2,707,547
 317 - Govt Primary School- Makhnial.,33.81297811761529,73.13432648779633,Combined,KPK,2,2,736,534
 309 - Govt Primary School- Sarbroot,33.81621011217958,73.03444809831676,Combined,KPK,2,2,863,684
 245 - Govt Primary School- Darra Dada Shaheed,33.81772859709185,72.92072392714827,Combined,KPK,2,2,807,709
 307 - Govt Primary School Pakshai,33.82091,73.092,Combined,KPK,1,1,471,357
 322 - Govt High School- Kharian,33.821800098573625,73.1584666836153,Combined,KPK,2,2,720,569
 310 - Govt Primary School- Beesban,33.822707493469395,73.06150999796354,Combined,KPK,2,2,609,528
 323 - Govt Primary School- Haryala.,33.826932584074754,73.14846729984704,Combined,KPK,1,1,268,189
 253 - Govt Primary School- Khoi Maira (Female).,33.82911809820932,72.9353882856732,Female,KPK,0,4,0,1369
 252 - Govt Middle School- Khoi Maira (Male).,33.82919238122275,72.93531354160946,Male,KPK,4,0,1537,0
 269 - Govt Girls Primary School- Suraj Gali,33.832341601187636,72.9091332706513,Combined,KPK,2,1,467,447
 311 - Govt Primary School- Desra.,33.833738426535824,73.08099472812557,Combined,KPK,1,1,262,215
 325 - Govt Middle School- Neelan Bhoto,33.83585822979136,73.19752200691934,Combined,KPK,2,2,978,740
 324 - Govt Middle School- Jalees,33.83721694224835,73.17801398195786,Combined,KPK,2,2,622,502
 294 - Govt Primary School Dartian (Female),33.83736,73.01186,Female,KPK,0,2,0,879
 265 - Govt Middle School- Shadi,33.83748131412697,72.84825918337759,Combined,KPK,2,2,597,467
 264 - Govt Primary School- Shadi,33.83748923833189,72.84822987612273,Combined,KPK,1,1,375,293
 266 - Govt Priamry School Shadi,33.83751,72.8483,Combined,KPK,2,1,494,410
 268 - Govt Primary School-Suraj Gali.,33.838038377705814,72.90107515763574,Combined,KPK,1,1,315,288
 262 - Govt Primary School- Rani Wah.,33.83874625243524,72.88002837540427,Combined,KPK,2,2,779,669
 320 - Govt Primary School Kohmal Bala,33.84041,73.14382,Combined,KPK,1,1,298,253
 319 - Govt Middle School- Dana Ferozpur,33.840896009282574,73.17363189612703,Combined,KPK,2,2,694,544
 263 - Govt Primary School- Nazarabad.,33.84106476798035,72.83097056885588,Combined,KPK,2,1,448,339
 267 - Govt High School Pind Gujran.,33.84838148774796,72.89700483749924,Combined,KPK,2,2,656,652
 271 - Govt Girls High School- Hattar,33.849247930321496,72.85387321362545,Combined,KPK,2,2,738,654
 312 - Govt  Primary School- Sumbal,33.85068745290971,73.0982594866647,Combined,KPK,2,2,708,561
 287 - Govt Middle School- Khoi Nara.,33.850936455508034,72.91638847758756,Combined,KPK,2,2,788,631
 318 - Govt Primary School- Kohmal Payeen,33.85370872179562,73.14865883883179,Combined,KPK,2,2,797,685
 316 - Govt Girls High School-Halli (Female),33.85375840327273,73.12443187880612,Female,KPK,0,4,0,1419
 270 - Basic Health Unit- Hattar,33.8546646021355,72.85186274298778,Combined,KPK,2,2,882,626
 273 - Govt High School- Hattar (female),33.85622308866102,72.85280993382389,Female,KPK,0,4,0,1353
 272 - Govt High School- Hattar (Male),33.85623415938654,72.85278998798903,Male,KPK,4,0,1487,0
 274 - Govt Primary School- Hattar,33.85633071031338,72.85284749592016,Combined,KPK,2,2,750,620
 321 - Govt High School- Barkot,33.85663800072912,73.16660155624027,Combined,KPK,2,2,575,501
 315 - Govt High School- Halli (Male),33.85733865355509,73.13542766903313,Male,KPK,4,0,1565,0
 285 - Basic Health Unit- Khoi Nara. (Male),33.86198548956543,72.9150198910843,Male,KPK,3,0,952,0
 286 - Basic Health Unit- Khoi Nara.(Female),33.862,72.91503,Female,KPK,0,3,0,872
 282 - Govt Girls Primary School- Bandi Muneem.,33.867897770800425,72.93113095348745,Combined,KPK,2,1,594,541
 283 - Govt Primary School- Bandi Muneem.,33.86837795583843,72.92931197295869,Combined,KPK,2,1,577,495
 277 - Govt Higher Secondary School- Bareela.,33.86898612651432,72.9294999846787,Combined,KPK,2,1,628,565
 280 - Govt Girls Higher Secondary School- Bandi Muneem.,33.86943010091109,72.92756445784407,Combined,KPK,2,2,658,571
 313 - Govt Girls  Primary School Malhat,33.86944,73.13361,Combined,KPK,1,1,471,382
 335 - Govt Middle School- Kohala Bala,33.86959077390953,73.18081804191013,Combined,KPK,2,2,878,735
 334 - Govt Girls Pirmary School Darkot (Female),33.86961,73.17074,Female,KPK,0,2,0,798
 333 - Govt Primary School- Darkot (Male),33.87014661788829,73.16342730037535,Male,KPK,3,0,979,0
 281 - Govt Girls Primary School- Pind Muneem.,33.87197682129855,72.9009718604828,Combined,KPK,2,2,768,672
 284 - Govt Girls Middle School- Pind Muneem.,33.87280545687037,72.89997023875203,Combined,KPK,1,1,417,344
 314 - Govt Middle School Sairee,33.87753,73.11848,Combined,KPK,1,1,466,370
 278 - Govt Middle School-Qutba Dhak. (Male),33.88214324802598,72.93856248865929,Male,KPK,3,0,961,0
 279 - Govt Middle School-Qutba Dhak.(Female),33.88218,72.93853,Female,KPK,0,3,0,842
 331 - Govt Primary School Nullah No. 1  (Female),33.8848,73.16011,Female,KPK,0,3,0,851
 348 - Govt High School- Chajjian. (Female),33.88497,73.02783,Female,KPK,0,3,0,970
 454 - Govt Primary School- Jhamrah.,33.887693535452634,72.62489323248943,Combined,KPK,2,1,559,454
 329 - Govt Girls Primary School- Bandi Kiayla.,33.88820746897176,73.17893743179614,Combined,KPK,1,1,476,387
 330 - Govt Middle School-Nullah (Male),33.89006411640535,73.15398192581456,Male,KPK,3,0,938,0
 456 - Govt Primary School- Kala Katha.,33.890809016838574,72.68221060887842,Combined,KPK,1,1,417,352
 452 - Govt High School- Jhamrah.,33.892637377304695,72.62566357619889,Combined,KPK,2,2,810,629
