PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 196 - Rural Health Center Abdul Halim,27.570936259108393,69.41936758696572,Combined,Sindh,2,1,565,228
 203 - Govt Pr: (B) Sch: Achar Mahar,27.623530265618058,69.44476103406032,Combined,Sindh,1,1,286,193
 198 - Govt(B)Pry:Sch: Ghulam Ali,27.629504956036413,69.51737091209804,Combined,Sindh,1,1,517,146
 204 - Govt(B)Pry: Masjid Sch. Muhammad Bux Khan Mahar,27.6447039121848,69.48134571129091,Combined,Sindh,2,1,966,519
 202 - Govt(B)Pry:Sch:Sardar Ghar,27.6542184276932,69.47337075805649,Combined,Sindh,2,1,906,540
 195 - Govt(B)Pry:Sch Alam Tobo,27.664874177429805,69.39191521906973,Combined,Sindh,2,1,618,414
 262 - Govt(B)Pry:Sch:Muhammad Bachal Gabol,27.699842246563936,69.49800345347838,Combined,Sindh,1,1,296,222
 263 - Govt(B)Pry:Sch:Ali Sher Malik,27.70849786080073,69.51300925060305,Combined,Sindh,1,1,365,254
 197 - Govt(B)Pry:Sch:Bhagsar,27.70855073912749,69.5129411446461,Combined,Sindh,2,1,871,194
 199 - Govt(B)Pry:Sch:Banghul Laghari,27.718066024869263,69.39732388801345,Combined,Sindh,1,1,361,199
 268 - Govt(B)Pry:Sch:Ghulam Mustafa Pitafi,27.728733954907668,69.49636903691473,Combined,Sindh,1,1,235,128
 211 - Govt(B)Pry:Sch:Allah Dito Mahtam,27.729472194302964,69.3315107468974,Combined,Sindh,1,1,256,210
 207 - Govt(B)Pry:Sch:Makan Kori,27.73595232586195,69.348600418542,Combined,Sindh,1,1,476,346
 257 - Govt(B)Pry:Sch:Deera Dadan Khan Lund,27.73819407280694,69.59411575983643,Combined,Sindh,2,1,527,238
 256 - Govt(B)Pry:Sch:Waqar Abad,27.741907426216287,69.54761793590525,Combined,Sindh,1,1,461,360
 266 - Govt(B)Pry:Sch:Kundho Talah,27.742649925161786,69.42006580356215,Combined,Sindh,2,2,738,663
 205 - Govt High Sch: Lohi,27.74487806140409,69.33912824077719,Combined,Sindh,2,2,639,580
 261 - Govt(B)Pry:Sch:Khohi Khengi,27.747335875614507,69.5241042840156,Combined,Sindh,2,2,754,545
 260 - Govt(B)Pry:Sch:Sachal Lund,27.747419578874517,69.52415107834476,Combined,Sindh,1,1,439,269
 206 - Govt(B)Pry:Sch:Lohi,27.750033016602725,69.33921307200652,Combined,Sindh,2,2,806,652
 212 - Govt(B)Pry:Sch:Ghulam Mohd Jat,27.75722407347015,69.33052202045903,Combined,Sindh,1,1,398,269
 283 - Govt(B)Pry:Sch:Mashghool Gadani,27.7574454324776,69.37940901432678,Combined,Sindh,1,1,342,323
 284 - Govt(B)Pry:Sch:Mattar Daro,27.76539066610485,69.4109113978591,Combined,Sindh,2,1,622,469
 267 - Govt(B)Pry:Sch:Loondi Tori,27.767907063694622,69.47069231949082,Combined,Sindh,1,1,341,216
 264 - Govt(B)Pry:Sch:Wahi Ghoto (Male),27.768988104564933,69.44495765199564,Male,Sindh,3,0,1200,0
 210 - Govt(B)Pry:Sch:Bhetoor,27.769560562023248,69.29297549851822,Combined,Sindh,2,2,862,698
 208 - Govt(B)Pry:Sch:Shah Pur (Male),27.773464316496625,69.32516000337421,Male,Sindh,3,0,1115,0
 209 - Govt(B)Pry:Sch:Shah Pur (Female),27.77373,69.32529,Female,Sindh,0,2,0,850
 258 - Govt(B)Pry:Sch:Landyoon,27.77796208139426,69.59495346461794,Combined,Sindh,2,2,927,616
 200 - Govt(B)Pry:Sch:Ramzan Bhanbhro,27.77816639401722,69.3546096715928,Combined,Sindh,1,1,461,345
 274 - Govt High Sch:Bazzar Lund (Female),27.78320320846198,69.42047244663223,Female,Sindh,0,4,0,1477
 259 - Govt(B)Pry:Sch: Faqeer Lal Mahar,27.78497036474926,69.66659514373191,Combined,Sindh,1,1,456,315
 201 - Govt(B)Pry:Sch: Kamal Gabol,27.7874,69.39185,Combined,Sindh,2,1,657,468
 275 - Govt(B)Pry:Sch:Sakhero Malik (Male),27.790602582521974,69.45663935769933,Male,Sindh,3,0,1234,0
 191 - Govt Pry:Masjid Sch:Weeram Mahar,27.812670719452424,69.41220632752122,Combined,Sindh,2,2,976,852
 126 - Govt (B)Pry:Sch:Sataroo Mahar,27.81310026515734,69.26105920980703,Combined,Sindh,2,2,805,650
 219 - Govt(B)Pry:Sch:Wadhan Mahar,27.817526624172856,69.30174019651528,Combined,Sindh,2,1,655,544
 233 - Govt(B)Pry:Sch:Khero Mahar,27.81850946022857,69.33748296740704,Combined,Sindh,2,2,688,605
 278 - Govt High Sch: Sono Pitafi,27.81912850613238,69.48125995616932,Combined,Sindh,2,2,1089,840
 279 - Rural Health Center: Sono Pitafi,27.81921461609265,69.48373576673387,Combined,Sindh,1,1,519,433
 272 - Govt(B)Pry:Sch:Garhi Bhit,27.819329003284462,69.44008205103579,Combined,Sindh,2,1,624,505
 192 - Govt(B)Pry:Sch:Naurang,27.822628331938848,69.36887845230018,Combined,Sindh,2,2,721,647
 121 - Govt (B) High Sch: Lakho Lanjari,27.825728449406483,69.24812364691068,Combined,Sindh,2,2,1060,786
 218 - Govt(B)Pry:Sch:Ibrahim Mahar,27.82701121451594,69.30026905896017,Combined,Sindh,1,1,196,141
 271 - Govt(B)Pry:Sch:Saeed Ahmad Khan Gabol,27.83306801089067,69.43986651319916,Combined,Sindh,2,2,689,568
