StationId,PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
52,The Agha Khan School Agha khan Road.,24.85414,66.99654,Combined,Sindh,2,2,1162,964
74,GBSS Hussania Iranian Nawab Mahabat Khanji Road,24.85479,66.99773,Combined,Sindh,2,2,882,719
75,GBSS Hussania Iranian Nawab Mahabat Khanji Road,24.85479,66.99776,Combined,Sindh,2,2,796,743
57,Haji Abdullah Haroon Collage Khadda,24.85563,66.99155,Combined,Sindh,2,2,1132,974
58,Haji Abdullah Haroon Collage Khadda,24.85563,66.99158,Combined,Sindh,2,2,1216,964
51,The Educators Nest,24.8557,66.9957,Combined,Sindh,2,2,1286,1141
62,Kara Bai Karim ji (Campus) GBSS  Khadda,24.85577,66.99286,Combined,Sindh,2,2,1163,956
63,Kara Bai Karim ji (Campus) GBSS  Khadda,24.85577,66.99289,Combined,Sindh,2,2,802,680
64,GBLSS Hakim Fateh Muhammad. (Kara Bai Karim ji (Campus) GBSS  Khadda),24.85577,66.99292,Combined,Sindh,2,2,925,761
53,G.B.S.S. Haji Abdullah Haroon Shah Waliullah Road,24.85581,66.99277,Combined,Sindh,2,2,1299,1036
54,G.B.S.S. Haji Abdullah Haroon Shah Waliullah Road,24.85581,66.9928,Combined,Sindh,2,2,1239,976
59,G.G.S.S. Mazher -ul- uloom Khadda,24.85582,66.9916,Combined,Sindh,2,2,1138,960
60,G.G.S.S. Mazher -ul- uloom Khadda,24.85582,66.99163,Combined,Sindh,2,2,1130,861
61,G.G.S.S. Mazher -ul- uloom Khadda,24.85582,66.99166,Combined,Sindh,2,2,1165,891
50,Daffodils Children Academy,24.85599,66.99489,Combined,Sindh,2,2,1227,937
49,Al Makhdoom Public School Kachi Gali Khadda,24.8564,66.99415,Combined,Sindh,2,2,1151,992
55,Lady Nusrat Haroon School Muhammad Khan Road,24.85673,66.99108,Combined,Sindh,2,2,1202,886
56,Lady Nusrat Haroon School Muhammad Khan Road,24.85673,66.99111,Combined,Sindh,2,2,1337,1027
44,Shah Abdul Latif Bhatti Hall,24.857,66.99546,Combined,Sindh,2,2,1310,1058
47,D.C.T.O.  G.B.S..S. Shah A .Latif Bhattai Road,24.85705,66.99556,Combined,Sindh,2,2,1134,962
48,D.C.T.O.  G.B.S..S. Shah A .Latif Bhattai Road,24.85705,66.99559,Combined,Sindh,2,2,1283,1030
72,B.F Carbal GBSS Nawab Mahabat Khangi  Road,24.85741,66.99924,Combined,Sindh,2,2,1196,1031
73,B.F Carbal GBSS Nawab Mahabat Khangi  Road,24.85741,66.99927,Combined,Sindh,2,2,869,767
35,Okhai Memon Academy School Liaquat Colony.,24.85748,66.99068,Combined,Sindh,2,2,1160,949
118,Masters Academy of Education- Mandarabad Campus- Mundra Mohallah Road (Mandra Jamat Khana Wali Gali).,24.8575,67.00972,Combined,Sindh,2,2,1300,928
41,White Rose Grammar Secondary School Opp: Telephone Exchange,24.8575,67.00975,Combined,Sindh,2,2,1200,993
33,Abdul Sattar Ghatta Memorial Collage Tayyab Ali Alvi Road.,24.85821,66.99086,Combined,Sindh,2,2,1207,936
34,Abdul Sattar Ghatta Memorial Collage Tayyab Ali Alvi Road.,24.85821,66.99089,Combined,Sindh,2,2,1390,1043
66,Govt. Girls Intermediate College- Shah Abdul Latif Bhitai Road.,24.85917,66.99541,Combined,Sindh,2,2,1256,1039
67,Govt. Girls Intermediate College- Shah Abdul Latif Bhitai Road.,24.85917,66.99544,Combined,Sindh,2,2,1043,969
43,Word Learning Grammar School St # 5 Block-B,24.85921,66.99232,Combined,Sindh,2,2,1153,906
68,Mir Ayub Govt- Girls Secondary SchoolShah Abdul Latif Bhitai Road.,24.85974,66.99621,Combined,Sindh,2,2,1162,1013
69,Mir Ayub Govt- GirlsSecondary SchoolShah Abdul Latif Bhitai Road.,24.85974,66.99624,Combined,Sindh,2,2,1110,960
65,White Rose Grammar School- Mir Muhammad Baloch Road-Opp. Baghadadi Police Station.,24.85975,66.9958,Combined,Sindh,2,2,1267,922
38,Okhai Memon Youth Service School- Nayabad Shah Waliullah Road.,24.85977,66.99089,Combined,Sindh,2,2,1174,966
40,Okhai Memon Youth Service School- Nayabad Shah Waliullah Road.,24.85977,66.99092,Combined,Sindh,2,2,1262,927
84,DMC School No. 13-14,24.8598,66.9963,Combined,Sindh,2,2,1045,800
45,Paradise /Akbar Shaheed English Gali No 7 Kara Bai Karim Jee Road,24.85981,66.99262,Combined,Sindh,2,2,1248,1040
46,Paradise /Akbar Shaheed English Gali No 7 Kara Bai Karim Jee Road,24.85981,66.99265,Combined,Sindh,2,2,1199,1065
36,Afshan Public School Liaquat Colony,24.85993,66.99126,Combined,Sindh,2,2,1184,924
42,Prime Rose Grammar School Nayabad Shah Waliullah Road.,24.86002,66.99072,Combined,Sindh,2,2,1268,1004
81,Government Poly technical Institute Lyari Karachi,24.86016,66.99664,Combined,Sindh,2,2,1116,898
82,Ploy technical GBSS Mir Mohammad Balouch Road,24.86016,66.99667,Combined,Sindh,2,2,1098,946
70,Wali Muhammad  Hasan Ali GGSS,24.86022,66.99667,Combined,Sindh,2,2,1110,960
71,Wali Muhammad  Hasan Ali GGSS,24.86022,66.9967,Combined,Sindh,2,2,1149,981
37,National Star Public School Fida Hussain Shaikha Road,24.86077,66.99145,Combined,Sindh,2,2,1314,1005
39,National Star Public School Fida Hussain Shaikha Road,24.86077,66.99148,Combined,Sindh,2,2,1336,1147
76,GBLSS Asanmal T Ojha D.D Choudhry Road,24.86125,66.99881,Combined,Sindh,2,2,1139,954
77,GBLSS Asanmal T Ojha D.D Choudhry Road,24.86125,66.99884,Combined,Sindh,2,2,1280,1124
78,GBPS Ali Muhammad Qabmrani inside GBLSS Assan Mal T. Ojha D.D. Choudhery Road,24.86125,66.99887,Combined,Sindh,2,2,1006,636
79,GBPS G.G.Chagla inside GBLSS Assan Mal T. Ojha D.D. Choudhery Road,24.86125,66.9989,Combined,Sindh,2,2,1212,1014
203,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00655,Combined,Sindh,2,2,1289,1123
204,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00658,Combined,Sindh,2,2,1397,1073
205,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00661,Combined,Sindh,2,2,1409,986
206,CMS (Campus) Govt. Boys Sec  School,24.86152,67.00664,Combined,Sindh,2,2,1356,1081
207,CMA Govt. Boys Sec  School CMS (Campus),24.86152,67.00667,Combined,Sindh,2,2,1209,1021
208,CMA Govt. Boys Sec  School CMS (Campus),24.86152,67.0067,Combined,Sindh,2,2,1058,839
80,Dolphin Children Academy Gali No.6 Block B behind Ali Hotal Shah Abdul Latif Bhittai Road,24.86153,66.99455,Combined,Sindh,2,2,1127,906
28,KMC Pry School 9-10 Fida Hussain Shikha Road,24.86175,66.99287,Combined,Sindh,2,2,1483,1044
83,Gul-e-Noor Pry. School Saify Lane Baghadadi,24.8621,66.9946,Combined,Sindh,2,2,1107,820
27,Al Hamd Grammer School Fida Hussain Shikha Road.,24.86219,66.99004,Combined,Sindh,2,2,1344,1054
21,TCF School- Mari Pur Road Kawasji Campus,24.86234,66.98711,Combined,Sindh,2,2,1235,1007
22,TCF School-Mari Pur Road Kawasji Campus,24.86234,66.98714,Combined,Sindh,2,2,1366,1091
23,TCF School-Mari Pur Road Kawasji Campus,24.86234,66.98717,Combined,Sindh,2,2,1389,907
24,TCF School-Mari Pur Road Kawasji Campus,24.86234,66.9872,Combined,Sindh,2,2,1444,995
26,GBPS Syed Abdul Karim- Zikri Muhallah.,24.86234,66.98723,Combined,Sindh,2,2,1434,1045
29,GBSS Izzat Khan Govt. Boys High Secondaary School (Campus) Niazi Chowk,24.86259,66.98962,Combined,Sindh,2,2,1414,864
30,GBSS Izzat Khan Govt. Boys High Secondaary School (Campus) Niazi Chowk,24.86259,66.98965,Combined,Sindh,2,2,1278,951
196,Rashid Minhas KMC Pry. School-Syed Mehmood Shah Road.,24.86279,67.0006,Combined,Sindh,2,2,1290,1093
31,Nusrat Bhutto Boys Degree College Lyari,24.86317,66.99038,Combined,Sindh,2,2,1289,960
32,Nusrat Bhutto Boys Degree College Lyari,24.86317,66.99041,Combined,Sindh,2,2,1320,967
87,G.G.S.S. Wali Muhammad Haji Yaqoob - Shah Abdul Latif Bhittai Road.,24.86355,66.99245,Combined,Sindh,2,2,1196,923
88,G.G.S.S. Wali Muhammad Haji Yaqoob - Shah Abdul Latif Bhittai Road.,24.86355,66.99248,Combined,Sindh,2,2,1267,890
89,G.G.S.S. Wali Muhammad Haji Yaqoob - Shah Abdul Latif Bhittai Road.,24.86355,66.99251,Combined,Sindh,2,2,1103,976
194,S.M. Shah Ghazi Juna Kumbhar Wara,24.86389,67.00063,Combined,Sindh,2,2,1332,924
195,S.M. Shah Ghazi Juna Kumbhar Wara,24.86389,67.00066,Combined,Sindh,2,2,1319,1053
85,G.B.S.S. Lyari No.1 Shah Abdul Latif Bhittai Road.,24.86407,66.992,Combined,Sindh,2,2,1020,809
86,G.B.S.S. Lyari No.1 Shah Abdul Latif Bhittai Road.,24.86407,66.99203,Combined,Sindh,2,2,1027,709
97,G.B.S.S. Lyari No.1 Shah Abdul Latif Bhittai Road.,24.86407,66.99206,Combined,Sindh,2,2,1238,964
98,G.B.S.S. Lyari No.1 Shah Abdul Latif Bhittai Road.,24.86407,66.99209,Combined,Sindh,2,2,1267,885
99,G.B.S.S. Lyari No.1 Shah Abdul Latif Bhittai Road.,24.86407,66.99212,Combined,Sindh,2,2,1230,864
199,Bilal City  Secondary School Off. Nishter Road,24.86444,67.01164,Combined,Sindh,2,2,1332,1023
200,Bilal City  Secondary School Off. Nishter Road,24.86444,67.01167,Combined,Sindh,2,2,1379,1061
163,Abdul Khaliq Jumma Hall Eid Gah Community Centre,24.86517,66.99992,Combined,Sindh,2,2,1412,1112
164,Abdul Khaliq Jumma Hall Eid Gah Community Centre,24.86517,66.99995,Combined,Sindh,2,2,1450,1073
136,GGPS Ghulam Rasool Denso Road Chakiwara,24.86568,66.99886,Combined,Sindh,2,2,1123,976
137,GBSS Lyari No. 2 Main Chakiwara,24.8658,66.99917,Combined,Sindh,2,2,1302,1077
141,GBSS Lyari No. 2 Main Chakiwara,24.8658,66.9992,Combined,Sindh,2,2,1129,991
201,St. Farancies Secondary School Off. Nishter Road,24.86608,67.00795,Combined,Sindh,2,2,1285,971
202,St. Farancies Secondary School Off. Nishter Road,24.86608,67.00798,Combined,Sindh,2,2,1181,963
92,GBPS Jamia Muhammadi Shah Baig Lane,24.86611,66.99667,Combined,Sindh,2,2,1091,949
90,Govt Boys Lower Secondary School G.H Qasim,24.86688,66.99635,Combined,Sindh,2,2,1137,949
91,Govt Boys Lower Secondary School G.H Qasim,24.86688,66.99638,Combined,Sindh,2,2,852,725
191,DMC Primary School No.03-04- near Lyari Digree College .,24.86722,67.00619,Combined,Sindh,2,2,1353,946
25,National Training Center Socio Economic Center Ahmed Shah Bukhari Road.,24.86744,66.98891,Combined,Sindh,2,2,1522,1099
16,GBLSS Khekashan Jumma Baluch Girls Road.,24.86775,66.98318,Combined,Sindh,2,2,1102,764
17,GBLSS Khekashan Jumma Baluch Boys Road.,24.86775,66.98321,Combined,Sindh,2,2,1235,842
8,Sadaya Accadmy Sec School Haji Saleh Muhammad Road,24.86777,66.98331,Combined,Sindh,2,2,1224,888
9,Sadaya Accadmy Sec School Haji Saleh Muhammad Road,24.86777,66.98334,Combined,Sindh,2,2,1337,1015
93,M .M Sadiq G.B.S.S Ahmed Shah Bukhari Road,24.86782,66.99471,Combined,Sindh,2,2,1362,883
94,M .M Sadiq G.B.S.S Ahmed Shah Bukhari Road,24.86782,66.99474,Combined,Sindh,2,2,1382,951
95,M .M Sadiq G.B.S.S Ahmed Shah Bukhari Road,24.86782,66.99477,Combined,Sindh,2,2,1130,878
18,KMC School No.7-8  Jumma Baluch Road.,24.86793,66.98376,Combined,Sindh,2,2,1424,1051
19,KMC School No.7-8  Jumma Baluch Road.,24.86793,66.98379,Combined,Sindh,2,2,1295,1004
20,KMC School No.5-6  Jumma Baluch Road.,24.86793,66.98382,Combined,Sindh,2,2,1075,847
189,GBPS Zahid Jinnah Abad,24.86802,67.01038,Combined,Sindh,2,2,1427,1152
219,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.01204,Combined,Sindh,2,2,1184,943
220,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.01207,Combined,Sindh,2,2,1340,1018
221,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.0121,Combined,Sindh,2,2,1029,898
222,Florance Secondary School near Alhe- Hadees Masjid Islampura.,24.86812,67.01213,Combined,Sindh,2,2,647,506
100,G.G.S.S. Jino Bai  G. Allana Tannary Road,24.86818,66.9959,Combined,Sindh,2,2,1073,786
101,G.G.S.S. Jino Bai  G. Allana Tannary Road,24.86818,66.99593,Combined,Sindh,2,2,1393,977
102,G.G.S.S. Jino Bai  G. Allana Tannary Road,24.86818,66.99596,Combined,Sindh,2,2,1421,1002
103,G.G.S.S. Jino Bai  G. Allana Tannary Road,24.86818,66.99599,Combined,Sindh,2,2,1369,874
6,GBPS Naval Falts Ghousia Road- Agra Taj Colony,24.86852,66.98183,Combined,Sindh,2,2,1356,1066
7,GBPS Naval Falts Ghousia Road- Agra Taj Colony,24.86852,66.98186,Combined,Sindh,2,2,1386,1077
192,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86862,67.00531,Combined,Sindh,2,2,1507,814
193,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86862,67.00534,Combined,Sindh,2,2,1389,1051
197,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86862,67.00537,Combined,Sindh,2,2,1589,956
198,Shaheed Bazazir Bhutto University Faqir muhammad Durra Khan Road.,24.86862,67.0054,Combined,Sindh,2,2,1361,935
218,DMC  Dispensary Dharramsiwara,24.86881,67.01316,Combined,Sindh,2,2,1238,924
190,DMC Primary School No.05- Gass Mandi.,24.86891,67.01107,Combined,Sindh,2,2,1428,952
132,GBSS S.M Lyari Chakiwara Rd No.2,24.86892,66.9972,Combined,Sindh,2,2,1464,1002
138,Hasan Ali Haji Hoti Government Girls Primary School,24.86895,66.99818,Combined,Sindh,2,2,1194,917
135,Ghazi Muhammad Bin Qasim Govt. Boys Higher Sec. School Chakiwara No.2,24.86907,66.99767,Combined,Sindh,2,2,1292,987
140,Ghulam Muhammad Nooruldin Govt. Girls Primary School,24.86917,66.9975,Combined,Sindh,2,2,1244,1042
139,Ghulam Rasool Baloch Lower Secondary School,24.86917,66.99777,Combined,Sindh,2,2,1259,946
167,Pak Bolouch Pry School  Molvi Umer Road,24.86934,67.0031,Combined,Sindh,2,2,1495,1018
168,Pak Bolouch Pry School  Molvi Umer Road,24.86934,67.00313,Combined,Sindh,2,2,1303,952
169,Pak Bolouch Pry School  Molvi Umer Road,24.86934,67.00316,Combined,Sindh,2,2,1193,1000
157,DMC Girls- Boys Elementry School No. 44-45,24.86947,66.99867,Combined,Sindh,2,2,1196,915
96,DMC GIRLS & BOYS ELEMENTRY SCHOOL NO 17 AHMED SHAH BUKHARI ROAD,24.86974,66.99222,Combined,Sindh,2,2,1250,906
12,Sun Rise Sec School  F-16 Hanfia Masjid Road,24.86984,66.981,Combined,Sindh,2,2,1456,1056
216,DMC Azeem School 30-31-32-33 Azeem Dharamswami,24.86996,67.01203,Combined,Sindh,2,2,1317,1071
217,DMC Azeem School 30-31-32-33 Azeem Dharamswami,24.86996,67.01206,Combined,Sindh,2,2,1269,1080
14,Ghulamaman-e- Abbas Sec School Mari Pur Road,24.87044,66.97765,Combined,Sindh,2,2,670,438
119,CDGK Primary School No.24 Phool Pati Lane,24.87053,66.99048,Combined,Sindh,2,2,1239,902
162,GGSS Kalakot New Kumar wara Road,24.87056,67.00111,Combined,Sindh,2,2,1263,1030
10,KMC School No. 1/2  F-22 Taj Masjid Road.,24.87071,66.98037,Combined,Sindh,2,2,1323,983
