PollingStation,Lat,Lng,BoothType,Province,MaleBooths,FemaleBooths,MaleVoters,FemaleVoters
 187 - Government  Girls Primary School Bait Wasava Kalro    (Female),30.68469,70.8986,Female,Punjab,0,2,0,1041
 156 - Government Girls Middle  School Pittan Wala   (Male),30.6980911,71.0830192,Male,Punjab,2,0,1235,0
 157 - Government Girls Middle  School Pittan Wala   (Female),30.6980911,71.0830492,Female,Punjab,0,2,0,1096
 209 - Government Girls Primary School Korey Wala   (Female),30.75683,70.9464,Female,Punjab,0,2,0,995
 148 - Government Girls High School Peer Jaggi   (Combined),30.7643438,71.0906584,Combined,Punjab,2,1,896,706
 147 - Government Boys High  School Peer Jaggi.   (Female),30.7643438,71.0906884,Female,Punjab,0,2,0,907
 149 - Government Boys High  School Peer Jaggi.   (Male),30.7643438,71.0907184,Male,Punjab,2,0,1133,0
 150 - Government Girls Middle  School 171/TDA   (Combined),30.7643438,71.0907484,Combined,Punjab,2,1,821,719
 151 - Government  Boys Primary School Basti Allah Bakhsh  (Combined),30.7643438,71.0907784,Combined,Punjab,1,1,512,417
 152 - Government Boys High  School 172/TDA   (Combined),30.7643438,71.0908084,Combined,Punjab,2,2,1109,863
 153 - Government Girls High  School 173/TDA   (Combined),30.7643438,71.0908384,Combined,Punjab,2,1,1064,701
 154 - Government Boys High  School 174/TDA   (Combined),30.7643438,71.0908684,Combined,Punjab,2,1,961,735
 155 - Government  Boys Primary School Dad Wala   (Combined),30.7643438,71.0908984,Combined,Punjab,2,1,1036,721
 159 - Government Boys Primary School Pahoor Wala  (Combined),30.7643438,71.0909284,Combined,Punjab,2,1,773,508
 213 - Veterinary Hospital Kot Sultan   (Female),30.77068,70.93114,Female,Punjab,0,2,0,1117
 189 - Government Boys Middle  School Shah Wala (Dera Manzoor Shah)   (Combined),30.771924,70.8782766,Combined,Punjab,1,1,749,636
 192 - Government Boys Primary School Khajian Sharaf Din   (Combined),30.771924,70.8783066,Combined,Punjab,1,1,723,619
 193 - Government Boys Primary School Husnain Abad   (Combined),30.771924,70.8783366,Combined,Punjab,2,1,824,687
 194 - Government Girls Primary School Warar Nashaib   (Combined),30.771924,70.8783666,Combined,Punjab,1,1,479,439
 196 - Government Girls Primary School Bait Gujji   (Combined),30.7751375,70.9020937,Combined,Punjab,1,1,676,573
 195 - Government Boys Middle  School Bait Gujji   (Combined),30.776167193083513,70.86837960918383,Combined,Punjab,2,1,979,791
 158 - Government  Boys Primary School Sharif Arain  (Combined),30.777030301245404,71.03270277650485,Combined,Punjab,1,1,705,493
 178 - Government  Primary School Basti Loharan   (Combined),30.778351,70.9259107,Combined,Punjab,1,1,574,478
 179 - Government Girls  Middle  School Bait Wasava Shumali   (Combined),30.778351,70.9259407,Combined,Punjab,1,1,756,615
 180 - Government Boys Middle  School Basti Khirani   (Male),30.778351,70.9259707,Male,Punjab,2,0,1290,0
 181 - Government Boys Middle  School Basti Khirani   (Female),30.778351,70.9260007,Female,Punjab,0,2,0,1046
 202 - Government  High  School Kot Sultan   (Male),30.778351,70.9260307,Male,Punjab,3,0,1757,0
 203 - Government Girls High   School  Kot Sultan          (Female),30.778351,70.9260607,Female,Punjab,0,3,0,1597
 204 - Government Boys College Kot Sultan   (Male),30.778351,70.9260907,Male,Punjab,2,0,1173,0
 205 - Government Girls College Kot Sultan   (Female),30.778351,70.9261207,Female,Punjab,0,2,0,1093
 206 - Government Boys Middle  School No.2            Kot Sultan   (Female),30.778351,70.9261507,Female,Punjab,0,4,0,1587
 207 - Vocational Training Institute Kot Sultan   (Male),30.778351,70.9261807,Male,Punjab,4,0,2004,0
 190 - Government Boys Primary School Bakhra    (Combined),30.81914,70.77451,Combined,Punjab,1,1,526,399
 225 - Government Model Primary School 166/TDA (Senior Campus)   (Female),30.84263,71.09764,Female,Punjab,0,2,0,1019
 223 - Government Boys Primary School 164-A/TDA   (Combined),30.8443518,71.0710759,Combined,Punjab,1,1,750,644
 251 - Government Boys High  School Sheran Wala Old Building   (Female),30.848042244394183,70.89774187644595,Female,Punjab,0,2,0,821
 252 - Government Boys High  School Sheran Wala Old Building   (Female),30.848042244394183,70.8977718764459,Female,Punjab,0,2,0,1024
 249 - Government Boys High  School Sheran Wala New Building   (Male),30.848054717631676,70.89772894753625,Male,Punjab,4,0,1248,0
 250 - Government Boys High  School Sheran Wala New Building   (Male),30.848054717631676,70.8977589475362,Male,Punjab,2,0,903,0
 245 - Government Boys Primary School Basti Haidero    (Male),30.848347491044258,70.87840827515397,Male,Punjab,4,0,2008,0
 113 - Government Girls Primary School 424-A/TDA   (Male),30.851523036701717,71.16014090145521,Male,Punjab,2,0,1010,0
 112 - Government Primary School 424-B/TDA   (Female),30.85426,71.13024,Female,Punjab,0,2,0,790
 246 - Government Boys Primary School Khan Wala Jadeed   (Female),30.85602506885723,70.86996254799347,Female,Punjab,0,3,0,1651
 218 - Government Boys High  School 162/TDA   (Combined),30.8666396,70.9387742,Combined,Punjab,1,1,727,648
 220 - Basic Health Unit 157/TDA   (Combined),30.8666396,70.9388042,Combined,Punjab,1,1,426,401
 221 - Government Boys Primary School 163/TDA   (Combined),30.8666396,70.9388342,Combined,Punjab,1,1,734,641
 224 - Government Boys Primary School 167/TDA   (Male),30.8666396,70.9388642,Male,Punjab,2,0,1167,0
 230 - Government Boys Middle  School  Adda Larian Jaman Shah   (Combined),30.8666396,70.9388942,Combined,Punjab,2,1,817,697
 231 - Government Girls Middle  School 160-B/TDA   (Combined),30.8666396,70.9389242,Combined,Punjab,2,1,920,751
 232 - Government Boys Primary School 160-C/TDA   (Combined),30.8666396,70.9389542,Combined,Punjab,2,1,820,672
 233 - Union Council Office Serishta Thal   (Combined),30.8666396,70.9389842,Combined,Punjab,2,1,777,659
 234 - Government Girls Middle  School Chandrain   (Combined),30.8666396,70.9390142,Combined,Punjab,2,1,931,761
 134 - Government Girls Primary School old Jaman Shah   (Female),30.87541378004924,70.92512068619229,Female,Punjab,0,3,0,969
 131 - Government Boys Higher secoendary School Jaman Shah (Part-1)   (Male),30.877515168142878,70.9270350812806,Male,Punjab,3,0,1106,0
 132 - Government Boys Higher secoendary School Jaman Shah (Part-2)   (Male),30.877515168142878,70.9270650812806,Male,Punjab,3,0,1138,0
 140 - Government Boys Primary School Basti Lali   (Combined),30.88053765768199,70.89726326237525,Combined,Punjab,2,2,983,811
 121 - Government Girls Primary School 423-B/TDA   (Combined),30.883500760895284,71.13900013164795,Combined,Punjab,2,1,1076,805
 122 - Government Boys Middle School 388/TDA   (Combined),30.88430666016441,71.16059699063612,Combined,Punjab,1,1,616,476
 130 - Government Boys Primary School Hot Wala   (Male),30.893520429493694,70.95974003421276,Male,Punjab,2,0,1159,0
 129 - Government Girls Middle School Hoot Wala  (Female),30.89441,70.96555,Female,Punjab,0,2,0,1007
 139 - Government Girls Primary School Gutt Nashaib   (Combined),30.89573858105954,70.89247661763414,Combined,Punjab,1,1,498,417
 244 - Government Boys Middle  School  Basti Jakhar   (Combined),30.898413438660928,70.86499023072682,Combined,Punjab,2,1,901,744
 269 - Government Girls Middle  School 401/TDA (Combined),30.902973409986014,71.28715185633467,Combined,Punjab,1,1,509,402
 108 - Government Boys Higher secondary School Ladhana (Part-1)   (Male),30.9030489,71.0026013,Male,Punjab,3,0,1251,0
 109 - Government Boys Higher secondary School Ladhana (Part-2)   (Male),30.9030489,71.0026313,Male,Punjab,3,0,1113,0
 110 - Government Boys Middle School 153-A/TDA   (Male),30.9030489,71.0026613,Male,Punjab,2,0,996,0
 111 - Government Boys Middle School 153-A/TDA   (Female),30.9030489,71.0026913,Female,Punjab,0,2,0,864
 114 - Government Girls High School-156/TDA (Part -I )    (Male),30.9030489,71.0027213,Male,Punjab,4,0,1867,0
 115 - Government Girls High School 156/TDA (Part-II)   (Female),30.9030489,71.0027513,Female,Punjab,0,4,0,1608
 116 - Government Girls Primary School 145/TDA   (Combined),30.9030489,71.0027813,Combined,Punjab,2,2,1137,902
 117 - Government Boys Middle School 152/TDA   (Combined),30.9030489,71.0028113,Combined,Punjab,2,1,977,801
 119 - Government Girls Middle School 153/TDA   (Combined),30.9030489,71.0028413,Combined,Punjab,1,1,535,442
 125 - Government Boys Primary School 151-A/TDA Mandee Wala   (Combined),30.9030489,71.0028713,Combined,Punjab,1,1,620,509
 127 - Government Boys Middle School 150-A/TDA (Kotla Narng Sarang)   (Male),30.9030489,71.0029013,Male,Punjab,2,0,1184,0
 128 - Government Boys Middle School 150-A/TDA (Kotla Narng Sarang)   (Female),30.9030489,71.0029313,Female,Punjab,0,2,0,1048
 91 - Government Boys Primary School 146/TDA   (Combined),30.9030489,71.0029613,Combined,Punjab,2,2,938,773
 92 - Government Boys Primary School 151/TDA   (Combined),30.9030489,71.0029913,Combined,Punjab,1,1,768,636
 143 - Government Girls Higher Secondry School Ladhana (Part-2)    (Female),30.9030489,71.0030213,Female,Punjab,0,3,0,1059
 52 - Government Boys High School Basti Sirai Part High)   (Combined),30.907099057760423,70.87048908658429,Combined,Punjab,1,1,769,673
 120 - Government Girls Middle School 155/TDA   (Combined),30.90732,71.12321,Combined,Punjab,1,1,514,436
 57 - Government Boys Middle School Kotla Qazi   (Combined),30.90745966796299,70.92952133336634,Combined,Punjab,1,1,467,413
 268 - Government Boys Primary School 383/TDA Chowki Dolu   (Combined),30.914573711659358,71.24007197639108,Combined,Punjab,2,2,958,756
 265 - Government Boys Primary School 387-A/TDA (Combined),30.922426378073553,71.16608789509765,Combined,Punjab,1,1,649,552
 58 - Government Primary School Samtia Nashaib (Haq Nawaz Kulachi Wala)   (Combined),30.930184985975533,70.88753876999918,Combined,Punjab,2,1,918,732
 56 - Government Boys Primary School Latif Model Form  Chak No.149-B/TDA  (Male),30.93152644,70.93336002,Male,Punjab,2,0,985,0
 55 - Government Boys Primary School Latif Model Form Chak No.149-B/TDA  (Male),30.931526443399353,70.93336001734379,Male,Punjab,2,0,960,0
 54 - Government Girls Middle School 149-B/TDA Latif Model Form   (Female),30.9315619032847,70.93500056046,Female,Punjab,0,3,0,1488
 256 - Government Girls  Primary School 434/142  /TDA  (Female),30.93442,71.084,Female,Punjab,0,2,0,925
 94 - Government Girls Primary School 147/TDA-  Farid Abad   (Female),30.93542,70.99528,Female,Punjab,0,2,0,931
 61 - Basic Health Unit Lohanch Nashaib    (Female),30.93777,70.89304,Female,Punjab,0,2,0,923
 62 - Basic Health Unit Lohanch Nashaib    (Female),30.93777,70.89307,Female,Punjab,0,2,0,785
 267 - Government Girls Primary School 362/TDA   (Combined),30.938403344257033,71.25812800983937,Combined,Punjab,2,2,992,723
 261 - Government Boys Primary  School  278/TDA  (Combined),30.9395745,70.9709653,Combined,Punjab,2,1,853,544
 291 - Government Boys Primary School 340/TDA (Combined),30.9395745,70.9709953,Combined,Punjab,2,1,818,627
 292 - Government Boys Middle  School  332/TDA (Combined),30.9395745,70.9710253,Combined,Punjab,2,1,833,670
 293 - Government Girls High  School 130/TDA (Combined),30.9395745,70.9710553,Combined,Punjab,2,1,905,731
 294 - Government Boys  Primary School 131/TDA (Combined),30.9395745,70.9710853,Combined,Punjab,1,1,438,352
 295 - Government Girls  Middle  School 132/TDA  (Male),30.9395745,70.9711153,Male,Punjab,3,0,1219,0
 296 - Government Girls  Middle  School 132/TDA (Female),30.9395745,70.9711453,Female,Punjab,0,2,0,941
 297 - Government Boys Middle School 275/TDA   (Combined),30.9395745,70.9711753,Combined,Punjab,2,1,782,592
 298 - Government Girls Primary School 284/TDA   (Combined),30.9395745,70.9712053,Combined,Punjab,2,2,1138,843
 300 - Government Boys High  School 287/TDA (Combined),30.9395745,70.9712353,Combined,Punjab,2,2,1395,1116
 301 - Government Girls High  School  336/TDA (Male),30.9395745,70.9712653,Male,Punjab,1,0,590,0
 302 - Government Girls High  School  336/TDA (Female),30.9395745,70.9712953,Female,Punjab,0,1,0,460
 74 - Government Boys Primary School 135/TDA    (Male),30.9395745,70.9713253,Male,Punjab,2,0,974,0
 75 - Government Girls High School 135/TDA    (Female),30.9395745,70.9713553,Female,Punjab,0,2,0,777
 76 - Government Girls Middle School 134/TDA   (Male),30.9395745,70.9713853,Male,Punjab,2,0,1170,0
 77 - Government Girls Middle School 134/TDA   (Female),30.9395745,70.9714153,Female,Punjab,0,2,0,884
 78 - Government Boys High School 128-A/TDA   (Combined),30.9395745,70.9714453,Combined,Punjab,2,2,890,786
 79 - Government Boys High School 137/TDA    (Male),30.9395745,70.9714753,Male,Punjab,3,0,1439,0
 80 - Government Boys High School 137/TDA    (Combined),30.9395745,70.9715053,Combined,Punjab,2,2,483,379
 81 - Government Girls Primary School 137/TDA New Layyah   (Female),30.9395745,70.9715353,Female,Punjab,0,3,0,1250
 73 - Government Boys Middle School  136/TDA   (Female),30.9395745,70.9715653,Female,Punjab,0,2,0,962
 82 - Government Boys Middle School 136/TDA   (Male),30.9395745,70.9715953,Male,Punjab,2,0,1192,0
 83 - Government Primary School Sumra Thal (Chak No 127/TDA )  (Combined),30.9395745,70.9716253,Combined,Punjab,1,1,709,595
 84 - Government Boys High School 138/TDA    (Male),30.9395745,70.9716553,Male,Punjab,2,0,1322,0
 85 - Government Girls Middle School 138/TDA    (Female),30.9395745,70.9716853,Female,Punjab,0,2,0,1064
 257 - Government Girls High School 279/TDA (Female),30.9395745,70.9717153,Female,Punjab,0,2,0,872
 258 - Government Girls High School 279/TDA (Male),30.9395745,70.9717453,Male,Punjab,2,0,993,0
 259 - Government Boys MiddleSchool 154/TDA  (Combined),30.9395745,70.9717753,Combined,Punjab,2,1,415,366
 144 - Government Boys Middle School 154/TDA   (Combined),30.9395745,70.9718053,Combined,Punjab,1,1,485,407
 260 - Government Girls Middle School 278-A/TDA   (Combined),30.9395745,70.9718353,Combined,Punjab,1,1,357,264
 124 - Government Girls Primary School 150-B/TDA New Layyah (Combined),30.9398796,70.9707675,Combined,Punjab,1,1,756,609
 126 - Government Girls Primary School 150/TDA(wazefi wala)   (Combined),30.9398796,70.9707975,Combined,Punjab,2,2,969,778
 86 - Government Girls Elementary School-139/TDA   (Combined),30.9398796,70.9708275,Combined,Punjab,2,2,739,593
 88 - Government girls Primary School Chah Doday wala Chak 145-A/ TDA   (Combined),30.9398796,70.9708575,Combined,Punjab,1,1,475,380
 93 - Government Girls Primary School 147/TDA Basti Pavilian Wala.   (Male),30.9398796,70.9708875,Male,Punjab,2,0,1070,0
 96 - Government Girls Primary School 148-A/TDA (Basti Chandia)    (Female),30.9398796,70.9709175,Female,Punjab,0,4,0,1328
 97 - Government Boys Primary School.148-B/TDA   (Male),30.9398796,70.9709475,Male,Punjab,2,0,1443,0
 98 - Government Girls Primary School-148-B/TDA(Bhatti Nagar)    (Female),30.9398796,70.9709775,Female,Punjab,0,2,0,1271
 253 - Government Boys High School 133/TDA (Main Wala Jadeed) (Male),30.9398796,70.9710075,Male,Punjab,3,0,1334,0
 254 - Government Girls High School 133/TDA (Lala Zar) (Female),30.9398796,70.9710375,Female,Punjab,0,2,0,1068
 118 - Government Boys Primary School 143/TDA   (Combined),30.9406797,71.0658187,Combined,Punjab,1,1,578,540
 102 - Government Boys Primary School 141/TDA   (Male),30.9406797,71.0658487,Male,Punjab,2,0,1074,0
 103 - Government Girls High  School 141/TDA   (Female),30.94244,71.06066,Female,Punjab,0,2,0,886
 100 - Government Boys Model Primary School Shah Habeeb    (Combined),30.94276198015011,70.93514792020339,Combined,Punjab,2,1,498,390
 99 - Government Boys Model Primary School Shah Habeeb    (Male),30.94276198015011,70.9351779202034,Male,Punjab,3,0,1411,0
 101 - Government Girls Primary School Basti Kunal Shah Habeeb    (Female),30.944167444861005,70.9354430741427,Female,Punjab,0,4,0,1174
 87 - Government Primary School Sheikh Saeed Abad   (Combined),30.94928,71.03839,Combined,Punjab,2,1,524,428
 60 - Government Girls Middle School Paki Mirani Lohanch Nashaib  (Male),30.94957,70.90443,Male,Punjab,2,0,1111,0
 59 - Government Girls Middle School Paki Mirani Lohanch Nashaib  (Male),30.94963016357081,70.90449985329897,Male,Punjab,2,0,926,0
 262 - Government Model Primary School 280/TDA Senior Campus(Combined),30.950305216336307,71.1655571634068,Combined,Punjab,2,1,761,561
 263 - Government Girls Middle  School- 357-A/TDA (Combined),30.950766685444915,71.17680910341373,Combined,Punjab,1,1,623,460
 21 - M.C Boys Primary School No.4 Sheikh Jallu  Layyah  (Male),30.95108086852075,70.94631829760641,Male,Punjab,4,0,1395,0
 51 - Government Boys Middle School Mirani Qadeem   (Combined),30.951706764939,70.90543191505279,Combined,Punjab,2,1,902,747
 95 - Government Boys Primary School 148-A/TDA (Iqbal Nagar)    (Male),30.9524867,70.9466912,Male,Punjab,4,0,1604,0
 35 - Government Girls Primary School Haider Abad (near Zila Council) Layyah  (Male),30.953135389512997,70.93639884121073,Male,Punjab,3,0,1594,0
 89 - Government Boys Higher Secondary School 139-A/TDA Layyah    (Male),30.95366053106022,70.9984773782882,Male,Punjab,3,0,1555,0
 36 - Government Girls High School Islamia (Part-II) Layyah    (Female),30.955134895238086,70.9367083622097,Female,Punjab,0,2,0,1450
 33 - Government Boys Model High School Main Gate  Part-3 Layyah (Male),30.955426699994504,70.93902157883079,Male,Punjab,2,0,967,0
 28 - Government Boys Model High School South Gate Part-II Layyah  (Male),30.955452039055178,70.93905185161088,Male,Punjab,2,0,1008,0
 30 - Thal Hospital-Layyah Eastran Gate Layyah  (Female),30.955668671276122,70.93913377038692,Female,Punjab,0,2,0,946
 266 - Government Boys Middle  School 353/TDA (Sabo Wal) (Combined),30.95586063039705,71.24668788880632,Combined,Punjab,2,1,907,707
 22 - Government Girls Primary School Bahadar Wala Mohallah Noor Abad Layyah   (Female),30.956579757932616,70.9478923555344,Female,Punjab,0,2,0,1127
 49 - Government Boys High School Sehmal   (Male),30.956731249019548,70.87922691688055,Male,Punjab,2,0,1315,0
 50 - Government Boys High School Sehmal   (Female),30.95673125,70.87922692,Female,Punjab,0,2,0,1101
 23 - M.C Boys Middle School No.2 Mohalah Faizabad  Layyah (Male),30.9570487,70.9415124,Male,Punjab,4,0,2026,0
 27 - Government Boys Model High School Part-I  Layyah (Male),30.9570487,70.9415424,Male,Punjab,2,0,1495,0
 304 - Government Girls Middle  School  Thind Klan Nashaib Malik Wala   (Combined),30.9570487,70.9415724,Combined,Punjab,2,2,956,801
 306 - Government Boys  Primary School Lodhra     Sumra Nashaib.   (Combined),30.9570487,70.9416024,Combined,Punjab,2,1,936,756
 307 - Government Girls High  School Sumra Nashaib Shumali.   (Combined),30.9570487,70.9416324,Combined,Punjab,2,1,727,615
 308 - Government Girls Community Modal School Basti Joya Sumra Nashaib Shumali.   (Combined),30.9570487,70.9416624,Combined,Punjab,2,1,553,469
 309 - Government Boys High  School Annar Wala   (Combined),30.9570487,70.9416924,Combined,Punjab,2,2,1042,856
 310 - Government BoysPrimary School Karoo Magasi Wala   (Combined),30.9570487,70.9417224,Combined,Punjab,2,1,775,694
 311 - Government Boys Primary School Basti Gurmani   (Combined),30.9570487,70.9417524,Combined,Punjab,2,2,947,802
 312 - Government Girls Primary School Imtiaz Abad   (Combined),30.9570487,70.9417824,Combined,Punjab,1,1,496,448
 315 - Government Girls Middle  School 120-A/TDA   (Combined),30.9570487,70.9418124,Combined,Punjab,2,1,817,719
 316 - Govt Boys Middle School 274/TDA   (Combined),30.9570487,70.9418424,Combined,Punjab,1,1,725,561
 317 - Government Girls Primary School 128/TDA(Old)   (Combined),30.9570487,70.9418724,Combined,Punjab,2,2,978,855
 319 - Government Girls Primary School 122/TDA (Abdullah Wala)   (Combined),30.9570487,70.9419024,Combined,Punjab,2,2,1201,939
 320 - Government Boys Primary School 117/TDA   (Combined),30.9570487,70.9419324,Combined,Punjab,2,2,1052,852
 322 - Government Boys Primary School 114-A/TDA   (Combined),30.9570487,70.9419624,Combined,Punjab,2,1,967,792
 90 - Government Girls Community Model High School 139-A/TDA    (Female),30.9570487,70.9419924,Female,Punjab,0,2,0,1342
 106 - Government Boys Primary School 125/TDA (Sahran Abad)   (Male),30.9570487,70.9420224,Male,Punjab,2,0,1158,0
 284 - Govt Girls Praimary School Near Janaz Gah Chowk Azam (Male),30.95782,71.21188,Male,Punjab,3,0,1246,0
 34 - M.C Girls Primary School No.3 Mohalah Guriani Wala Layyah  (Female),30.958173041096074,70.93896959246146,Female,Punjab,0,2,0,932
